layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
0,0.99962187,example_0000,natural,0.5,2048,bloat_sweep
1,0.9996215,example_0000,natural,0.5,2048,bloat_sweep
2,0.9992382,example_0000,natural,0.5,2048,bloat_sweep
3,0.9983953,example_0000,natural,0.5,2048,bloat_sweep
4,0.99759156,example_0000,natural,0.5,2048,bloat_sweep
5,0.9966812,example_0000,natural,0.5,2048,bloat_sweep
6,0.9950293,example_0000,natural,0.5,2048,bloat_sweep
7,0.99535763,example_0000,natural,0.5,2048,bloat_sweep
8,0.99401915,example_0000,natural,0.5,2048,bloat_sweep
9,0.99439627,example_0000,natural,0.5,2048,bloat_sweep
10,0.99307084,example_0000,natural,0.5,2048,bloat_sweep
11,0.99149925,example_0000,natural,0.5,2048,bloat_sweep
12,0.9830356,example_0000,natural,0.5,2048,bloat_sweep
13,0.96893364,example_0000,natural,0.5,2048,bloat_sweep
14,0.9742756,example_0000,natural,0.5,2048,bloat_sweep
15,0.96695787,example_0000,natural,0.5,2048,bloat_sweep
16,0.966357,example_0000,natural,0.5,2048,bloat_sweep
17,0.9753345,example_0000,natural,0.5,2048,bloat_sweep
18,0.9785479,example_0000,natural,0.5,2048,bloat_sweep
19,0.970854,example_0000,natural,0.5,2048,bloat_sweep
20,0.9542215,example_0000,natural,0.5,2048,bloat_sweep
21,0.9711725,example_0000,natural,0.5,2048,bloat_sweep
22,0.9742544,example_0000,natural,0.5,2048,bloat_sweep
23,0.9637692,example_0000,natural,0.5,2048,bloat_sweep
0,0.9996592,example_0001,natural,0.5,2048,bloat_sweep
1,0.99926084,example_0001,natural,0.5,2048,bloat_sweep
2,0.9985463,example_0001,natural,0.5,2048,bloat_sweep
3,0.99740124,example_0001,natural,0.5,2048,bloat_sweep
4,0.9966717,example_0001,natural,0.5,2048,bloat_sweep
5,0.9933889,example_0001,natural,0.5,2048,bloat_sweep
6,0.9903319,example_0001,natural,0.5,2048,bloat_sweep
7,0.9903112,example_0001,natural,0.5,2048,bloat_sweep
8,0.98811114,example_0001,natural,0.5,2048,bloat_sweep
9,0.9893755,example_0001,natural,0.5,2048,bloat_sweep
10,0.9876648,example_0001,natural,0.5,2048,bloat_sweep
11,0.9857333,example_0001,natural,0.5,2048,bloat_sweep
12,0.9783468,example_0001,natural,0.5,2048,bloat_sweep
13,0.9676911,example_0001,natural,0.5,2048,bloat_sweep
14,0.97630566,example_0001,natural,0.5,2048,bloat_sweep
15,0.97469074,example_0001,natural,0.5,2048,bloat_sweep
16,0.97526824,example_0001,natural,0.5,2048,bloat_sweep
17,0.98127294,example_0001,natural,0.5,2048,bloat_sweep
18,0.9857825,example_0001,natural,0.5,2048,bloat_sweep
19,0.98322356,example_0001,natural,0.5,2048,bloat_sweep
20,0.9838799,example_0001,natural,0.5,2048,bloat_sweep
21,0.98652357,example_0001,natural,0.5,2048,bloat_sweep
22,0.9847269,example_0001,natural,0.5,2048,bloat_sweep
23,0.9798489,example_0001,natural,0.5,2048,bloat_sweep
0,0.9993975,example_0002,natural,0.5,2048,bloat_sweep
1,0.9989763,example_0002,natural,0.5,2048,bloat_sweep
2,0.9978384,example_0002,natural,0.5,2048,bloat_sweep
3,0.9957593,example_0002,natural,0.5,2048,bloat_sweep
4,0.99371564,example_0002,natural,0.5,2048,bloat_sweep
5,0.9930825,example_0002,natural,0.5,2048,bloat_sweep
6,0.99061865,example_0002,natural,0.5,2048,bloat_sweep
7,0.9891148,example_0002,natural,0.5,2048,bloat_sweep
8,0.98726755,example_0002,natural,0.5,2048,bloat_sweep
9,0.9884511,example_0002,natural,0.5,2048,bloat_sweep
10,0.98791695,example_0002,natural,0.5,2048,bloat_sweep
11,0.98559344,example_0002,natural,0.5,2048,bloat_sweep
12,0.9790066,example_0002,natural,0.5,2048,bloat_sweep
13,0.9701348,example_0002,natural,0.5,2048,bloat_sweep
14,0.97611356,example_0002,natural,0.5,2048,bloat_sweep
15,0.97130203,example_0002,natural,0.5,2048,bloat_sweep
16,0.965519,example_0002,natural,0.5,2048,bloat_sweep
17,0.9718428,example_0002,natural,0.5,2048,bloat_sweep
18,0.97710085,example_0002,natural,0.5,2048,bloat_sweep
19,0.9702332,example_0002,natural,0.5,2048,bloat_sweep
20,0.9808788,example_0002,natural,0.5,2048,bloat_sweep
21,0.98795,example_0002,natural,0.5,2048,bloat_sweep
22,0.98485726,example_0002,natural,0.5,2048,bloat_sweep
23,0.9765442,example_0002,natural,0.5,2048,bloat_sweep
0,0.9996229,example_0003,natural,0.5,2048,bloat_sweep
1,0.9989149,example_0003,natural,0.5,2048,bloat_sweep
2,0.9979967,example_0003,natural,0.5,2048,bloat_sweep
3,0.9960205,example_0003,natural,0.5,2048,bloat_sweep
4,0.9944664,example_0003,natural,0.5,2048,bloat_sweep
5,0.9935515,example_0003,natural,0.5,2048,bloat_sweep
6,0.9928796,example_0003,natural,0.5,2048,bloat_sweep
7,0.9921541,example_0003,natural,0.5,2048,bloat_sweep
8,0.99220586,example_0003,natural,0.5,2048,bloat_sweep
9,0.99122053,example_0003,natural,0.5,2048,bloat_sweep
10,0.99115133,example_0003,natural,0.5,2048,bloat_sweep
11,0.9897245,example_0003,natural,0.5,2048,bloat_sweep
12,0.9808779,example_0003,natural,0.5,2048,bloat_sweep
13,0.9760716,example_0003,natural,0.5,2048,bloat_sweep
14,0.97935337,example_0003,natural,0.5,2048,bloat_sweep
15,0.9675139,example_0003,natural,0.5,2048,bloat_sweep
16,0.9645802,example_0003,natural,0.5,2048,bloat_sweep
17,0.9746789,example_0003,natural,0.5,2048,bloat_sweep
18,0.9795034,example_0003,natural,0.5,2048,bloat_sweep
19,0.97649056,example_0003,natural,0.5,2048,bloat_sweep
20,0.9661604,example_0003,natural,0.5,2048,bloat_sweep
21,0.9707989,example_0003,natural,0.5,2048,bloat_sweep
22,0.96332556,example_0003,natural,0.5,2048,bloat_sweep
23,0.9513942,example_0003,natural,0.5,2048,bloat_sweep
0,0.99969214,example_0004,natural,0.5,2048,bloat_sweep
1,0.99928755,example_0004,natural,0.5,2048,bloat_sweep
2,0.9990722,example_0004,natural,0.5,2048,bloat_sweep
3,0.99840844,example_0004,natural,0.5,2048,bloat_sweep
4,0.99787384,example_0004,natural,0.5,2048,bloat_sweep
5,0.9973062,example_0004,natural,0.5,2048,bloat_sweep
6,0.99624145,example_0004,natural,0.5,2048,bloat_sweep
7,0.9952151,example_0004,natural,0.5,2048,bloat_sweep
8,0.99421155,example_0004,natural,0.5,2048,bloat_sweep
9,0.9944944,example_0004,natural,0.5,2048,bloat_sweep
10,0.99303514,example_0004,natural,0.5,2048,bloat_sweep
11,0.99109584,example_0004,natural,0.5,2048,bloat_sweep
12,0.9838829,example_0004,natural,0.5,2048,bloat_sweep
13,0.9756685,example_0004,natural,0.5,2048,bloat_sweep
14,0.9818238,example_0004,natural,0.5,2048,bloat_sweep
15,0.97561896,example_0004,natural,0.5,2048,bloat_sweep
16,0.9769571,example_0004,natural,0.5,2048,bloat_sweep
17,0.9830968,example_0004,natural,0.5,2048,bloat_sweep
18,0.98723197,example_0004,natural,0.5,2048,bloat_sweep
19,0.98670644,example_0004,natural,0.5,2048,bloat_sweep
20,0.9896687,example_0004,natural,0.5,2048,bloat_sweep
21,0.99186516,example_0004,natural,0.5,2048,bloat_sweep
22,0.990621,example_0004,natural,0.5,2048,bloat_sweep
