layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
0,0.999821,example_0000,natural,0.1,4096,position_sweep
1,0.9995625,example_0000,natural,0.1,4096,position_sweep
2,0.99919575,example_0000,natural,0.1,4096,position_sweep
3,0.99804467,example_0000,natural,0.1,4096,position_sweep
4,0.9974158,example_0000,natural,0.1,4096,position_sweep
5,0.99359864,example_0000,natural,0.1,4096,position_sweep
6,0.99211645,example_0000,natural,0.1,4096,position_sweep
7,0.99093604,example_0000,natural,0.1,4096,position_sweep
8,0.99032724,example_0000,natural,0.1,4096,position_sweep
9,0.9911467,example_0000,natural,0.1,4096,position_sweep
10,0.9906431,example_0000,natural,0.1,4096,position_sweep
11,0.98792595,example_0000,natural,0.1,4096,position_sweep
12,0.9813487,example_0000,natural,0.1,4096,position_sweep
13,0.9742473,example_0000,natural,0.1,4096,position_sweep
14,0.9695532,example_0000,natural,0.1,4096,position_sweep
15,0.9650495,example_0000,natural,0.1,4096,position_sweep
16,0.93811494,example_0000,natural,0.1,4096,position_sweep
17,0.9484521,example_0000,natural,0.1,4096,position_sweep
18,0.9547456,example_0000,natural,0.1,4096,position_sweep
19,0.9377716,example_0000,natural,0.1,4096,position_sweep
20,0.9467452,example_0000,natural,0.1,4096,position_sweep
21,0.9564922,example_0000,natural,0.1,4096,position_sweep
22,0.95474935,example_0000,natural,0.1,4096,position_sweep
23,0.93876874,example_0000,natural,0.1,4096,position_sweep
0,0.9997841,example_0001,natural,0.1,4096,position_sweep
1,0.9996153,example_0001,natural,0.1,4096,position_sweep
2,0.9988415,example_0001,natural,0.1,4096,position_sweep
3,0.9974407,example_0001,natural,0.1,4096,position_sweep
4,0.9964817,example_0001,natural,0.1,4096,position_sweep
5,0.9936542,example_0001,natural,0.1,4096,position_sweep
6,0.99195206,example_0001,natural,0.1,4096,position_sweep
7,0.99061126,example_0001,natural,0.1,4096,position_sweep
8,0.9890125,example_0001,natural,0.1,4096,position_sweep
9,0.98959017,example_0001,natural,0.1,4096,position_sweep
10,0.9893524,example_0001,natural,0.1,4096,position_sweep
11,0.98680377,example_0001,natural,0.1,4096,position_sweep
12,0.98103976,example_0001,natural,0.1,4096,position_sweep
13,0.97733027,example_0001,natural,0.1,4096,position_sweep
14,0.9755131,example_0001,natural,0.1,4096,position_sweep
15,0.9728838,example_0001,natural,0.1,4096,position_sweep
16,0.95766807,example_0001,natural,0.1,4096,position_sweep
17,0.96444756,example_0001,natural,0.1,4096,position_sweep
18,0.97226274,example_0001,natural,0.1,4096,position_sweep
19,0.9659966,example_0001,natural,0.1,4096,position_sweep
20,0.97865367,example_0001,natural,0.1,4096,position_sweep
21,0.9841638,example_0001,natural,0.1,4096,position_sweep
22,0.9810805,example_0001,natural,0.1,4096,position_sweep
23,0.97333163,example_0001,natural,0.1,4096,position_sweep
0,0.99975324,example_0002,natural,0.1,4096,position_sweep
1,0.99927765,example_0002,natural,0.1,4096,position_sweep
2,0.9986172,example_0002,natural,0.1,4096,position_sweep
3,0.99710876,example_0002,natural,0.1,4096,position_sweep
4,0.9962638,example_0002,natural,0.1,4096,position_sweep
5,0.994496,example_0002,natural,0.1,4096,position_sweep
6,0.99317974,example_0002,natural,0.1,4096,position_sweep
7,0.9916642,example_0002,natural,0.1,4096,position_sweep
8,0.9905597,example_0002,natural,0.1,4096,position_sweep
9,0.99042904,example_0002,natural,0.1,4096,position_sweep
10,0.99001527,example_0002,natural,0.1,4096,position_sweep
11,0.9856651,example_0002,natural,0.1,4096,position_sweep
12,0.97652197,example_0002,natural,0.1,4096,position_sweep
13,0.96682906,example_0002,natural,0.1,4096,position_sweep
14,0.957153,example_0002,natural,0.1,4096,position_sweep
15,0.9600178,example_0002,natural,0.1,4096,position_sweep
16,0.91642684,example_0002,natural,0.1,4096,position_sweep
17,0.9217925,example_0002,natural,0.1,4096,position_sweep
18,0.9288587,example_0002,natural,0.1,4096,position_sweep
19,0.9021777,example_0002,natural,0.1,4096,position_sweep
20,0.9335929,example_0002,natural,0.1,4096,position_sweep
21,0.95111614,example_0002,natural,0.1,4096,position_sweep
22,0.93806565,example_0002,natural,0.1,4096,position_sweep
23,0.9076335,example_0002,natural,0.1,4096,position_sweep
0,0.99968225,example_0003,natural,0.1,4096,position_sweep
1,0.9992064,example_0003,natural,0.1,4096,position_sweep
2,0.99874294,example_0003,natural,0.1,4096,position_sweep
3,0.9956277,example_0003,natural,0.1,4096,position_sweep
4,0.9951372,example_0003,natural,0.1,4096,position_sweep
5,0.9909197,example_0003,natural,0.1,4096,position_sweep
6,0.98945016,example_0003,natural,0.1,4096,position_sweep
7,0.9878281,example_0003,natural,0.1,4096,position_sweep
8,0.988343,example_0003,natural,0.1,4096,position_sweep
9,0.9872098,example_0003,natural,0.1,4096,position_sweep
10,0.98650897,example_0003,natural,0.1,4096,position_sweep
11,0.9829917,example_0003,natural,0.1,4096,position_sweep
12,0.9789115,example_0003,natural,0.1,4096,position_sweep
13,0.9754776,example_0003,natural,0.1,4096,position_sweep
14,0.97322184,example_0003,natural,0.1,4096,position_sweep
15,0.9632703,example_0003,natural,0.1,4096,position_sweep
16,0.9510416,example_0003,natural,0.1,4096,position_sweep
17,0.9583348,example_0003,natural,0.1,4096,position_sweep
18,0.9591004,example_0003,natural,0.1,4096,position_sweep
19,0.94382036,example_0003,natural,0.1,4096,position_sweep
20,0.96165085,example_0003,natural,0.1,4096,position_sweep
21,0.9729036,example_0003,natural,0.1,4096,position_sweep
22,0.96852577,example_0003,natural,0.1,4096,position_sweep
23,0.9560074,example_0003,natural,0.1,4096,position_sweep
0,0.9997182,example_0004,natural,0.1,4096,position_sweep
1,0.9992904,example_0004,natural,0.1,4096,position_sweep
2,0.9985105,example_0004,natural,0.1,4096,position_sweep
3,0.9970387,example_0004,natural,0.1,4096,position_sweep
4,0.9960127,example_0004,natural,0.1,4096,position_sweep
5,0.9918811,example_0004,natural,0.1,4096,position_sweep
6,0.9906788,example_0004,natural,0.1,4096,position_sweep
7,0.9884705,example_0004,natural,0.1,4096,position_sweep
8,0.98929673,example_0004,natural,0.1,4096,position_sweep
9,0.99028265,example_0004,natural,0.1,4096,position_sweep
10,0.9902248,example_0004,natural,0.1,4096,position_sweep
11,0.9885468,example_0004,natural,0.1,4096,position_sweep
12,0.9828677,example_0004,natural,0.1,4096,position_sweep
13,0.9807597,example_0004,natural,0.1,4096,position_sweep
14,0.9797052,example_0004,natural,0.1,4096,position_sweep
15,0.97014326,example_0004,natural,0.1,4096,position_sweep
16,0.9691565,example_0004,natural,0.1,4096,position_sweep
17,0.9735243,example_0004,natural,0.1,4096,position_sweep
18,0.9793355,example_0004,natural,0.1,4096,position_sweep
19,0.976452,example_0004,natural,0.1,4096,position_sweep
20,0.9412628,example_0004,natural,0.1,4096,position_sweep
21,0.9535987,example_0004,natural,0.1,4096,position_sweep
22,0.94848317,example_0004,natural,0.1,4096,position_sweep
23,0.9068727,example_0004,natural,0.1,4096,position_sweep
0,0.99962395,example_0005,natural,0.1,4096,position_sweep
1,0.99935067,example_0005,natural,0.1,4096,position_sweep
2,0.99885637,example_0005,natural,0.1,4096,position_sweep
3,0.99778086,example_0005,natural,0.1,4096,position_sweep
4,0.9959696,example_0005,natural,0.1,4096,position_sweep
5,0.99330485,example_0005,natural,0.1,4096,position_sweep
6,0.99096376,example_0005,natural,0.1,4096,position_sweep
7,0.9914248,example_0005,natural,0.1,4096,position_sweep
8,0.9906512,example_0005,natural,0.1,4096,position_sweep
9,0.9898814,example_0005,natural,0.1,4096,position_sweep
10,0.99005586,example_0005,natural,0.1,4096,position_sweep
11,0.9880543,example_0005,natural,0.1,4096,position_sweep
12,0.9817077,example_0005,natural,0.1,4096,position_sweep
13,0.97497016,example_0005,natural,0.1,4096,position_sweep
14,0.97712606,example_0005,natural,0.1,4096,position_sweep
15,0.97068495,example_0005,natural,0.1,4096,position_sweep
16,0.9560954,example_0005,natural,0.1,4096,position_sweep
17,0.96534705,example_0005,natural,0.1,4096,position_sweep
18,0.96959835,example_0005,natural,0.1,4096,position_sweep
19,0.963409,example_0005,natural,0.1,4096,position_sweep
20,0.96703863,example_0005,natural,0.1,4096,position_sweep
21,0.9755525,example_0005,natural,0.1,4096,position_sweep
22,0.97722566,example_0005,natural,0.1,4096,position_sweep
23,0.96628445,example_0005,natural,0.1,4096,position_sweep
0,0.99966526,example_0006,natural,0.1,4096,position_sweep
1,0.9995773,example_0006,natural,0.1,4096,position_sweep
2,0.99935794,example_0006,natural,0.1,4096,position_sweep
3,0.99566627,example_0006,natural,0.1,4096,position_sweep
4,0.9952382,example_0006,natural,0.1,4096,position_sweep
5,0.99027795,example_0006,natural,0.1,4096,position_sweep
6,0.98921245,example_0006,natural,0.1,4096,position_sweep
7,0.9872598,example_0006,natural,0.1,4096,position_sweep
8,0.9879925,example_0006,natural,0.1,4096,position_sweep
9,0.98784363,example_0006,natural,0.1,4096,position_sweep
10,0.9874381,example_0006,natural,0.1,4096,position_sweep
11,0.98504883,example_0006,natural,0.1,4096,position_sweep
12,0.9750285,example_0006,natural,0.1,4096,position_sweep
13,0.96656823,example_0006,natural,0.1,4096,position_sweep
14,0.9653832,example_0006,natural,0.1,4096,position_sweep
15,0.96302855,example_0006,natural,0.1,4096,position_sweep
16,0.93223095,example_0006,natural,0.1,4096,position_sweep
17,0.93787473,example_0006,natural,0.1,4096,position_sweep
18,0.9415808,example_0006,natural,0.1,4096,position_sweep
19,0.9300045,example_0006,natural,0.1,4096,position_sweep
20,0.958105,example_0006,natural,0.1,4096,position_sweep
21,0.96100026,example_0006,natural,0.1,4096,position_sweep
22,0.95400196,example_0006,natural,0.1,4096,position_sweep
23,0.93909127,example_0006,natural,0.1,4096,position_sweep
0,0.9998462,example_0007,natural,0.1,4096,position_sweep
1,0.9996398,example_0007,natural,0.1,4096,position_sweep
2,0.9994448,example_0007,natural,0.1,4096,position_sweep
3,0.9989885,example_0007,natural,0.1,4096,position_sweep
4,0.9986622,example_0007,natural,0.1,4096,position_sweep
5,0.9958825,example_0007,natural,0.1,4096,position_sweep
6,0.9951478,example_0007,natural,0.1,4096,position_sweep
7,0.99421674,example_0007,natural,0.1,4096,position_sweep
8,0.9941937,example_0007,natural,0.1,4096,position_sweep
9,0.99469095,example_0007,natural,0.1,4096,position_sweep
10,0.99451745,example_0007,natural,0.1,4096,position_sweep
11,0.9916844,example_0007,natural,0.1,4096,position_sweep
12,0.98190194,example_0007,natural,0.1,4096,position_sweep
13,0.97548425,example_0007,natural,0.1,4096,position_sweep
14,0.97006214,example_0007,natural,0.1,4096,position_sweep
15,0.96061546,example_0007,natural,0.1,4096,position_sweep
16,0.95472986,example_0007,natural,0.1,4096,position_sweep
17,0.9645659,example_0007,natural,0.1,4096,position_sweep
