layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
0,0,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,1,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,2,5.841255187988281e-06,2.980232238769531e-07,5.841043510767547e-06,0.05102040816326531,example_0000,natural,0,4096,sink_stress
0,3,0.0013598799705505371,0.009280800819396973,0.0013599772437031534,6.824720578566732,example_0000,natural,0,4096,sink_stress
0,4,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,5,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,6,1.7881393432617188e-07,0.0,1.7883260933944957e-07,0.0,example_0000,natural,0,4096,sink_stress
0,7,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,8,0.00014895200729370117,0.0006266236305236816,0.00014894701789474148,4.20688275310124,example_0000,natural,0,4096,sink_stress
0,9,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,10,0.0002834796905517578,0.002715766429901123,0.00028348577349653596,9.580109335576115,example_0000,natural,0,4096,sink_stress
0,11,0.0,0.0,0.0,0.0,example_0000,natural,0,4096,sink_stress
0,12,5.4836273193359375e-06,7.766485214233398e-05,5.484424948506019e-06,14.16304347826087,example_0000,natural,0,4096,sink_stress
0,13,0.0,5.960464477539063e-08,0.0,5.9604644775390625,example_0000,natural,0,4096,sink_stress
1,0,6.312131881713867e-05,0.003056466579437256,6.311809843228709e-05,48.422096317280456,example_0000,natural,0,4096,sink_stress
1,1,0.00012230873107910156,0.015581905841827393,0.00012229890472152444,127.39814814814815,example_0000,natural,0,4096,sink_stress
1,2,0.00011867284774780273,0.0018768906593322754,0.00011866764191481774,15.815670517327975,example_0000,natural,0,4096,sink_stress
1,3,0.0007646083831787109,0.021413564682006836,0.0007646388735417366,28.0059245400686,example_0000,natural,0,4096,sink_stress
1,4,1.0728836059570312e-06,2.1636486053466797e-05,1.073069729382545e-06,20.166666666666668,example_0000,natural,0,4096,sink_stress
1,5,0.00018227100372314453,0.005097568035125732,0.0001822631383829004,27.966971877043818,example_0000,natural,0,4096,sink_stress
1,6,0.00025910139083862305,0.007552683353424072,0.00025908533044197206,29.149528410397977,example_0000,natural,0,4096,sink_stress
