layer,cosine_similarity,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
0,0.9998567,example_0000,natural,64,4096,sink_stress
1,0.99930805,example_0000,natural,64,4096,sink_stress
2,0.9989662,example_0000,natural,64,4096,sink_stress
3,0.9970824,example_0000,natural,64,4096,sink_stress
4,0.99160284,example_0000,natural,64,4096,sink_stress
5,0.9683435,example_0000,natural,64,4096,sink_stress
6,0.9641123,example_0000,natural,64,4096,sink_stress
7,0.9623015,example_0000,natural,64,4096,sink_stress
8,0.96157986,example_0000,natural,64,4096,sink_stress
9,0.96693426,example_0000,natural,64,4096,sink_stress
10,0.96360767,example_0000,natural,64,4096,sink_stress
11,0.9551292,example_0000,natural,64,4096,sink_stress
12,0.93047154,example_0000,natural,64,4096,sink_stress
13,0.9312833,example_0000,natural,64,4096,sink_stress
14,0.9430087,example_0000,natural,64,4096,sink_stress
15,0.9456465,example_0000,natural,64,4096,sink_stress
16,0.9447829,example_0000,natural,64,4096,sink_stress
17,0.9453619,example_0000,natural,64,4096,sink_stress
18,0.9484375,example_0000,natural,64,4096,sink_stress
19,0.93296933,example_0000,natural,64,4096,sink_stress
20,0.95308614,example_0000,natural,64,4096,sink_stress
21,0.9661534,example_0000,natural,64,4096,sink_stress
22,0.95762885,example_0000,natural,64,4096,sink_stress
23,0.88354266,example_0000,natural,64,4096,sink_stress
0,0.99985677,example_0001,natural,64,4096,sink_stress
1,0.9994943,example_0001,natural,64,4096,sink_stress
2,0.9990214,example_0001,natural,64,4096,sink_stress
3,0.9986764,example_0001,natural,64,4096,sink_stress
4,0.9951832,example_0001,natural,64,4096,sink_stress
5,0.9710249,example_0001,natural,64,4096,sink_stress
6,0.97019255,example_0001,natural,64,4096,sink_stress
7,0.9671754,example_0001,natural,64,4096,sink_stress
8,0.9674264,example_0001,natural,64,4096,sink_stress
9,0.9705279,example_0001,natural,64,4096,sink_stress
10,0.967919,example_0001,natural,64,4096,sink_stress
11,0.9620279,example_0001,natural,64,4096,sink_stress
12,0.94366604,example_0001,natural,64,4096,sink_stress
13,0.94308287,example_0001,natural,64,4096,sink_stress
14,0.9493828,example_0001,natural,64,4096,sink_stress
15,0.9506112,example_0001,natural,64,4096,sink_stress
16,0.9468579,example_0001,natural,64,4096,sink_stress
17,0.95872754,example_0001,natural,64,4096,sink_stress
18,0.9662176,example_0001,natural,64,4096,sink_stress
19,0.9570701,example_0001,natural,64,4096,sink_stress
20,0.9722038,example_0001,natural,64,4096,sink_stress
21,0.97974205,example_0001,natural,64,4096,sink_stress
22,0.9780142,example_0001,natural,64,4096,sink_stress
23,0.95433587,example_0001,natural,64,4096,sink_stress
0,0.9999174,example_0002,natural,64,4096,sink_stress
1,0.9996223,example_0002,natural,64,4096,sink_stress
2,0.99947894,example_0002,natural,64,4096,sink_stress
3,0.9979444,example_0002,natural,64,4096,sink_stress
4,0.99570704,example_0002,natural,64,4096,sink_stress
5,0.9784589,example_0002,natural,64,4096,sink_stress
6,0.9760355,example_0002,natural,64,4096,sink_stress
7,0.97056377,example_0002,natural,64,4096,sink_stress
8,0.9685739,example_0002,natural,64,4096,sink_stress
